title,year,genre,duration,country,director,humor,rhythm,effort,tension,vote,votes_total
Sword of Sherwood Forest,1960,Adventure,77,Great Britain,Terence Fisher,2,2,0,1,5,5
L'armée des ombres,1969,War,140,France,Jean-Pierre Melville,0,3,4,4,7,70
Hardi! Pardaillan,1963,Adventure,93,France,Bernard Borderie,0,2,0,2,5,5
Au revoir les enfants,1987,Drama,103,France,Louis Malle,1,2,4,3,7,171
Rembrandt,1937,Biography,85,Great Britain,Alexander Korda,2,2,1,1,7,9
Asphalt,1929,Drama,72,Germany,Joe May,0,3,3,3,7,8
Le hasard et la violence,1973,Thriller,85,France,Philippe Labro,0,2,0,1,4,4
L'assassin habite... au 21,1942,Crime,84,France,Henri-Georges Clouzot,3,3,2,3,7,40
The Card,1952,Comedy,91,Great Britain,Ronald Neame,2,3,0,2,7,11
Asterix et le coup de menhir,1989,Animation,81,France,Philippe Grimond,3,3,0,0,6,37
The Quatermass Experiment,1955,Sci-Fi,82,Great Britain,Val Guest,0,2,1,3,7,38
Atlantis,1991,Documentary,78,France,Luc Besson,0,2,3,0,6,14
Attack on the Iros Coast,1968,War,90,Great Britain,Paul Wendkos,0,0,0,0,4,3
North Sea Hijack,1979,Adventure,93,Great Britain,Andrew McLaglen,0,2,0,2,6,25
The Object of Beauty,1990,Comedy,102,Great Britain,Michael Lindsay-Hogg,2,2,0,1,5,8
The Shout,1978,Drama,82,Great Britain,Jerzy Skolimowski,0,3,3,3,7,86
The Divorce of Lady X,1938,Comedy,92,Great Britain,Tim Whelan,2,2,0,1,7,8
Alice's Adventures in Wonderland,1972,Fantasy,96,Great Britain,William Sterling,0,2,1,1,4,3
The Adventures of Gérard,1970,Comedy,90,Great Britain,Jerzy Skolimowski,1,2,1,1,5,5
Oliver Twist,1948,Drama,116,Great Britain,David Lean,0,2,2,3,7,31
Reach for the Sky,1956,War,130,Great Britain,Lewis Gilbert,1,2,2,2,7,7
Dance with a Stranger,1985,Drama,99,Great Britain,Mike Newell,0,2,2,2,6,51
Le banquet,1989,Comedy,86,France,Marco Ferreri,2,2,2,0,6,12
La Banquière,1980,Biography,118,France,Francis Girod,0,2,2,2,6,6
Action of the Tiger,1957,Adventure,93,Great Britain,Terence Young,0,2,0,1,4,5
Pépé le Moko,1937,Drama,94,France,Julien Duvivier,1,3,2,3,8,44
Dr Jekyll and Sister Hyde,1971,Horror,97,Great Britain,Roy Ward Baker,0,0,0,0,7,19
Le baron de l'écluse,1960,Comedy,95,France,Jean Delannoy,2,2,0,1,7,15
Münchhausen,1943,Adventure,115,Germany,Josef Von Baky,1,3,0,2,6,13
Weekend of Shadows,1978,Drama,95,Australia,Tom Jeffrey,0,2,1,1,5,3
The Wicked Lady,1945,Adventure,104,Great Britain,Leslie Arliss,1,2,0,1,6,18
Das blaue Licht - Eine Berglegende aus den Dolomiten,1932,Drama,86,Germany,Leni Riefenstahl,0,0,0,0,6,10
High Hopes,1988,Drama,102,Great Britain,Mike Leigh,2,3,3,2,7,24
Billy Bud,1962,Drama,125,Great Britain,Peter Ustinov,0,3,3,3,7,9
La blonde de Pékin,1966,Spy,80,France,Nicolas Gessner,1,2,0,2,4,5
Bob le flambeur,1955,Crime,100,France,Jean-Pierre Melville,1,3,1,3,7,43
Firepower,1979,Adventure,103,Great Britain,Michael Winner,0,2,0,3,5,20
The Bostonians,1984,Drama,129,Great Britain,James Ivory,0,2,2,1,6,19
The Boy Friend,1971,Musical,110,Great Britain,Ken Russell,0,0,0,0,7,16
Sanders of the River,1935,Adventure,98,Great Britain,Zoltan Korda,0,2,0,2,5,3
Brief Encounter,1945,Mélo,86,Great Britain,David Lean,0,2,3,2,8,96
Life of Brian,1979,Comedy,94,Great Britain,Terry Jones,4,3,2,1,7,184
Peau de banane,1963,Comedy,105,France,Marcel Ophüls,1,2,0,1,5,10
Buffet froid,1979,Comedy,95,France,Bertrand Blier,2,2,1,1,6,12
Nightbreed,1990,Horror,93,Great Britain,Clive Barker,0,2,0,3,6,92
Le gendarme se marie,1968,Comedy,89,France,Jean Girault,3,2,0,1,5,15
A Room With a View,1985,Romantic,120,Great Britain,James Ivory,1,1,1,1,6,140
Une chambre en ville,1982,Musical,92,France,Jacques Demy,1,2,0,3,6,3
Voyou,1970,Thriller,123,France,Claude Lelouch,0,0,0,0,7,3
Canaris,1954,History,115,Germany,Alfred Weidenmann,0,0,0,0,5,3
Onkel Toms Hütte,1963,Drama,126,Germany,Géza von Radványi,0,2,3,1,5,8
La chèvre,1981,Comedy,93,France,Francis Veber,2,2,0,1,6,45
The Scapegoat,1959,Drama,92,Great Britain,Robert Hamer,2,3,2,2,6,18
Caravaggio,1986,Drama,97,Great Britain,Derek Jarman,1,2,2,1,7,44
Passage Home,1956,Drama,95,Great Britain,Roy Ward Baker,1,2,1,2,5,5
Körkarlen,1921,Fantasy,100,Sweden,Victor Sjöström,0,3,2,3,8,54
Cartouche,1962,Adventure,114,France,Philippe De Broca,2,2,0,2,6,20
The House that Dripped Blood,1971,Horror,102,Great Britain,Peter Duffell,2,3,0,3,6,19
La maison de jade,1988,Drama,95,France,Nadine Trintignant,0,1,2,2,4,5
Quest for Love,1971,Comedy,90,Great Britain,Ralph Thomas,0,0,0,0,7,3
The Wrong Box,1966,Comedy,110,Great Britain,Bryan Forbes,0,0,0,0,7,11
Cassandra Crossing,1976,Thriller,125,Great Britain,George Pan Cosmatos,1,4,3,4,6,110
Castaway,1986,Drama,115,Great Britain,Nicolas Roeg,2,3,2,2,6,16
The Rise of Catherine the Great,1934,Drama,92,Great Britain,Paul Czinner,0,2,0,2,6,7
Gross Misconduct,1993,Drama,100,Australia,George Miller,0,2,0,2,5,10
Le Cheval d'orgueil,1980,History,120,France,Claude Chabrol,0,2,2,2,5,3
At the Earth's Core,1976,Adventure,88,Great Britain,Kevin Connor,1,3,0,2,5,13
Le cerveau,1969,Comedy,115,France,Gérard Oury,2,2,0,1,6,4
Billion Dollar Brain,1968,Spy,103,Great Britain,Ken Russell,0,2,2,3,6,24
Champions,1983,Drama,114,Great Britain,John Irvin,0,0,0,0,5,6
Element of Risk/That's Me Over There,1975,Crime,101,Great Britain,Leslie Norman e Gerald Mayer,0,0,0,0,6,5
Claire de femme,1979,Drama,100,France,Costa-Gavras,1,3,3,3,4,11
Il y a des jours... et des lunes,1990,Comedy,117,France,Claude Lelouch,1,3,2,3,7,12
Consuming Passions,1988,Grotesque,98,Great Britain,Giles Foster,2,2,0,0,5,5
Cyrano de Bergerac,1945,Drama,100,France,Fernand Rivers,0,2,0,1,6,3
Diamond City,1949,Adventure,90,Great Britain,David McDonald,0,1,0,1,5,3
The Coca Cola Kid,1985,Comedy,94,Australia,Dusan Makavejev,2,3,1,0,5,14
L'histoire très bonne et très joyeuse de Colinot Trousse-Chemise,1973,Comedy,105,France,Nina Companeez,1,1,0,0,4,4
Conduct Unbecoming,1974,Thriller,105,Great Britain,Michael Anderson,0,3,2,3,6,11
Pulp,1972,Thriller,90,Great Britain,Mike Hodges,3,2,1,2,6,14
The League of Gentlemen,1959,Comedy,116,Great Britain,Basil Dearden,3,4,1,2,7,18
How I Won the War,1967,War,110,Great Britain,Richard Lester,1,2,2,2,7,12
Le tueur,1972,Crime,87,France,Denys De La Patellière,0,2,0,3,5,13
Den goda viljan,1992,Drama,183,Sweden,Bille August,0,2,1,1,5,10
L'aveu,1970,Drama,138,France,Costa-Gavras,0,0,0,0,7,15
Knight without Armour,1937,Adventure,107,Great Britain,Jacques Feyder,1,2,0,2,6,15
One More Time,1969,Comedy,95,Great Britain,Jerry Lewis,2,1,0,2,4,3
The Singer Not the Song,1961,Western,129,Great Britain,Roy Ward Baker,0,2,0,2,5,18
International Velvet,1978,Comedy,125,Great Britain,Bryan Forbes,1,2,0,2,6,5
The Krays,1990,Drama,119,Great Britain,Peter Medak,0,2,0,2,7,20
Christopher Columbus,1949,Adventure,104,Great Britain,David McDonald,0,2,0,1,5,9
2001: A Space Odyssey,1968,Sci-Fi,141,Great Britain,Stanley Kubrick,0,2,4,2,9,881
Daddy nostalgie,1990,Romantic,108,France,Bertrand Tavernier,1,2,3,2,7,26
Déjà Vu,1985,Horror,94,Great Britain,Anthony B. Richmond,0,2,0,3,6,4
Le crime de Monsieur Lange,1935,Comedy,90,France,Jean Renoir,1,2,2,0,7,16
Green For Danger,1946,Crime,93,Great Britain,Sidney Gilliat,2,3,0,3,6,13
Plein soleil,1960,Thriller,120,France,René Clément,1,2,1,3,7,46
The Spiral Staircase,1975,Thriller,89,Great Britain,Peter Collinson,0,1,0,3,3,4
Evil Under the Sun,1982,Thriller,120,Great Britain,Guy Hamilton,1,2,1,2,6,90
Les possédés,1987,Drama,110,France,Andrzej Wajda,0,0,0,0,6,11
Detective,1985,Thriller,97,France,Jean-Luc Godard,1,2,4,3,6,18
The Chain Reaction,1980,Sci-Fi,96,Australia,Ian Berry,0,3,2,3,7,7
Diamonds for Breakfast,1968,Comedy,102,Great Britain,Christopher Morahan,1,2,0,1,3,6
Tagebuch einer Verlorenen,1929,Drama,90,Germany,Georg Wilhelm Pabst,0,3,4,3,8,33
Libel,1959,Drama,100,Great Britain,Anthony Asquith,0,2,1,3,6,7
La décade prodigieuse,1971,Thriller,108,France,Claude Chabrol,1,2,1,3,6,48
Campbell's Kingdom,1958,Adventure,102,Great Britain,Ralph Thomas,0,2,1,2,6,4
Descente aux enfers,1986,Thriller,90,France,Francis Girod,0,1,0,2,5,11
Les chiens,1979,Drama,99,France,Alain Jessua,0,0,0,0,7,4
Life Is Sweet,1990,Comedy,102,Great Britain,Mike Leigh,2,2,3,1,7,11
Tomorrow at Ten,1964,Thriller,77,Great Britain,Lance Comfort,0,2,0,3,6,4
Woman of Straw,1964,Drama,114,Great Britain,Basil Dearden,0,2,0,1,6,29
La bonne année,1973,Comedy,115,France,Claude Lelouch,1,3,2,3,7,27
Women in Love,1969,Drama,133,Great Britain,Ken Russell,1,2,3,2,7,51
Mujeres al borde de un ataque de nervios,1988,Comedy,90,Spain,Pedro Almodóvar,3,4,2,2,7,208
The Odessa File,1974,Spy,130,Great Britain,Ronald Neame,0,2,0,2,6,28
Inferno - Menschen der Zeit,1922,Drama,100,Germany,Fritz Lang,1,3,1,3,8,20
Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,1963,Grotesque,93,Great Britain,Stanley Kubrick,2,1,2,1,8,511
The Doctor and the Devils,1985,Horror,93,Great Britain,Freddie Francis,0,0,0,0,7,3
Where's Jack?,1969,Adventure,120,Great Britain,James Clavell,2,3,0,1,7,3
Dead-End Drive In,1986,Sci-Fi,92,Australia,Brian Trenchard-Smith,0,0,0,0,5,6
Deux hommes dans la ville,1973,Crime,95,France,José Giovanni,1,2,3,3,6,36
Les fugitifs,1986,Comedy,85,France,Francis Veber,2,2,0,1,6,21
To Paris with Love,1954,Comedy,78,Great Britain,Robert Hamer,2,3,0,1,5,14
The Tall Guy,1989,Comedy,92,Great Britain,Mel Smith,1,3,0,1,5,9
Duet for One,1986,Drama,107,Great Britain,Andrey Konchalovskiy,0,1,3,0,5,9
And Now for Something Completely Different,1971,Comedy,89,Great Britain,Ian MacNaughton,3,2,0,0,7,66
Echos aus einem düsteren Reich,1990,Documentary,85,Germany,Werner Herzog,0,2,3,2,7,29
El cochecito,1960,Comedy,86,Spain,Marco Ferreri,2,1,3,1,7,38
Entr'acte/Voyage imaginaire/La Tour,1924,Fantasy,117,France,René Clair,3,3,3,1,8,32
Ils étaient neuf célibataires,1939,Comedy,112,France,Sacha Guitry,2,2,0,1,6,11
The Heroes of Telemark,1965,War,131,Great Britain,Anthony Mann,2,2,2,3,6,45
Les seins de glace,1974,Thriller,105,France,Georges Lautner,0,2,0,3,5,21
The Europeans,1979,Drama,83,Great Britain,James Ivory,0,0,0,0,8,4
Le fantôme de la liberté,1974,Drama,105,France,Luis Buñuel,2,3,3,1,8,131
The Ghost Goes West,1936,Comedy,87,Great Britain,René Clair,3,3,0,1,7,27
Dead Cert,1974,Crime,90,Great Britain,Tony Richardson,0,2,1,2,6,4
Le charme discret de la bourgeoisie,1972,Grotesque,97,France,Luis Buñuel,2,3,3,2,8,284
Faust,1926,Drama,85,Germany,F.W. Murnau,0,3,5,3,9,59
Beware of Pity,1946,Drama,106,Great Britain,Maurice Elvey,0,2,2,2,5,4
The Birthday Party,1968,Drama,127,Great Britain,William Friedkin,0,0,0,0,7,11
Ryan's Daughter,1970,Drama,193,Great Britain,David Lean,0,2,2,2,8,76
Comme un boomerang,1976,Drama,85,France,José Giovanni,0,3,2,3,6,35
À bout de souffle,1960,Drama,90,France,Jean-Luc Godard,1,2,3,2,8,253
Fitzcarraldo,1982,Adventure,158,Germany,Werner Herzog,0,2,3,2,8,182
Flash Gordon,1980,Sci-Fi,100,Great Britain,Mike Hodges,1,2,0,2,5,110
Trollflöjten,1974,Musical,135,Sweden,Ingmar Bergman,2,3,2,1,7,32
Flic story,1975,Crime,110,France,Jacques Deray,2,4,2,4,7,56
Riders of the Storm,1986,Grotesque,92,Great Britain,Maurice Phillips,0,0,0,0,5,6
Ned Kelly,1970,Western,103,Great Britain,Tony Richardson,0,3,0,3,5,9
Le Pacha,1968,Crime,95,France,Georges Lautner,1,2,1,3,6,38
Frenzy,1972,Thriller,115,Great Britain,Alfred Hitchcock,2,3,2,3,7,244
North West Frontier,1959,Adventure,129,Great Britain,J. Lee Thompson,2,2,1,2,7,15
Doctor Phibes Rises Again,1972,Horror,89,Great Britain,Robert Fuest,2,2,0,3,5,30
Feu Mathias Pascal,1926,Drama,118,France,Marcel L'Herbier,2,3,3,3,7,10
Midnight Express,1978,Drama,119,Great Britain,Alan Parker,0,3,3,3,7,237
Funeral in Berlin,1967,Spy,102,Great Britain,Guy Hamilton,1,3,0,3,7,25
De bruit et de fureur,1987,Drama,95,France,Jean-Claude Brisseau,0,3,3,3,8,4
Das kabinett des Doktor Caligari,1920,Horror,78,Germany,Robert Wiene,0,3,4,4,9,244
Gandhi,1982,Biography,180,Great Britain,Richard Attenborough,0,3,4,3,7,169
The Trials of Oscar Wilde,1960,Drama,120,Great Britain,Ken Hughes,0,0,0,0,8,9
La chatte,1958,War,105,France,Henri Decoin,0,2,0,2,7,3
The Cat and the Canary,1978,Thriller,92,Great Britain,Radley Metzger,1,1,1,2,5,11
Diabolo Menthe,1977,Comedy,95,France,Diane Kurys,2,1,0,0,6,7
Le grand escogriffe,1976,Comedy,100,France,Claude Pinoteau,2,1,0,1,4,4
Gervaise,1956,Drama,116,France,René Clément,0,2,2,2,7,11
Green Ice,1981,Adventure,105,Great Britain,Ernest Day,0,3,0,2,6,12
The Assam Garden,1985,Comedy,90,Great Britain,Mary McMurray,2,2,3,1,7,16
Drowning by Numbers,1988,Drama,115,Great Britain,Peter Greenaway,2,3,3,3,7,49
The Magus,1968,Drama,116,Great Britain,Guy Green,1,2,1,2,5,9
Une journée bien remplie,1972,Grotesque,90,France,Jean-Louis Trintignant,2,2,1,1,6,21
Hennessy,1973,Thriller,100,Great Britain,Don Sharp,0,2,1,3,7,4
Young and Innocent,1937,Thriller,80,Great Britain,Alfred Hitchcock,3,3,1,2,7,82
The Loneliness of the Long Distance Runner,1962,Drama,104,Great Britain,Tony Richardson,1,3,4,3,8,36
Colditz Story,1954,War,102,Great Britain,Guy Hamilton,1,2,2,2,6,19
Gothic,1986,Horror,90,Great Britain,Ken Russell,0,2,0,2,5,32
That Hamilton Woman,1941,Drama,128,Great Britain,Alexander Korda,1,2,0,1,7,23
Robbery Under Arms,1957,Adventure,88,Great Britain,Jack Lee,0,2,1,2,6,9
Les grandes manoeuvres,1955,Comedy,107,France,René Clair,2,2,1,1,6,32
Great Expectations,1946,Drama,118,Great Britain,David Lean,1,3,2,3,7,53
Schrei aus Stein,1991,Adventure,106,Germany,Werner Herzog,0,2,3,1,6,30
Touchez pas au grisbi,1954,Noir,94,France,Jacques Becker,1,3,2,3,8,73
La guerre des boutons,1961,Comedy,95,France,Yves Robert,3,3,3,0,7,19
Conspiracy of Hearts,1960,Drama,113,Great Britain,Ralph Thomas,0,2,2,3,7,3
Harlequin,1980,Drama,96,Australia,Simon Wincer,1,3,3,3,6,10
Heimat: Eine Chronik in elf Teilen - Heimatfront,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,12
Heimat: Eine Chronik in elf Teilen - Die stolzen Jahre,1984,Drama,82,Germany,Edgar Reitz,1,2,3,2,8,14
Heimat: Eine Chronik in elf Teilen - Hermännchen,1984,Drama,119,Germany,Edgar Reitz,1,2,3,2,8,14
Heimat: Eine Chronik in elf Teilen - Die Mitte der Welt,1984,Drama,90,Germany,Edgar Reitz,1,2,3,2,8,14
Heimat: Eine Chronik in elf Teilen - Der Amerikaner,1984,Drama,119,Germany,Edgar Reitz,1,2,3,2,8,14
Heimat: Eine Chronik in elf Teilen - Die Liebe der Soldaten,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,14
Heimat: Eine Chronik in elf Teilen - Das Fest der Lebenden und der Toten,1984,Drama,100,Germany,Edgar Reitz,1,2,3,2,8,12
Heimat: Eine Chronik in elf Teilen - Weihnacht wie noch nie,1984,Drama,58,Germany,Edgar Reitz,1,2,3,2,8,13
Heimat: Eine Chronik in elf Teilen - Fernweh,1984,Drama,120,Germany,Edgar Reitz,1,2,3,2,8,15
Heimat: Eine Chronik in elf Teilen - Auf und davon und zurück,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,13
Heimat: Eine Chronik in elf Teilen - Reichshöhenstrasse,1984,Drama,59,Germany,Edgar Reitz,1,2,3,2,8,13
Hellbound: Hellraiser II,1988,Horror,93,Great Britain,Tony Randel,0,2,0,2,6,67
High Spirits,1988,Fantasy,95,Great Britain,Neil Jordan,2,2,0,1,5,36
Rogue Male,1976,Adventure,100,Great Britain,Clive Donner,0,0,0,0,6,3
L'éternel retour,1943,Romantic,102,France,Jean Delannoy,0,2,3,3,6,11
L'important c'est d'aimer,1974,Drama,115,France,Andrzej Zulawski,0,2,1,1,7,40
The Importance of Being Earnest,1952,Comedy,95,Great Britain,Anthony Asquith,2,2,0,1,7,23
Accident,1967,Drama,105,Great Britain,Joseph Losey,1,3,4,3,7,55
Otley,1970,Comedy,90,Great Britain,Dick Clement,2,2,0,1,5,7
An Englishman Abroad,1982,Comedy,72,Great Britain,John Schlesinger,0,0,0,0,8,3
Initiation,1987,Adventure,100,Australia,Michael Pearce,0,2,1,2,4,5
Monsieur Hire,1989,Thriller,80,France,Patrice Leconte,1,2,3,4,7,47
Sleuth,1972,Thriller,138,Great Britain,Joseph L. Mankiewicz,1,2,1,3,7,80
Mad Max,1979,Action,88,Australia,George Miller,3,4,3,4,6,295
Mad Max 2,1981,Action,92,Australia,George Miller,1,4,0,3,7,266
Bâton Rouge,1988,Thriller,90,Spain,Rafael Moleón,1,2,0,2,4,7
Monsieur,1964,Comedy,95,France,Jean-Paul Le Chanois,2,2,0,1,6,4
Forty-Ninth Parallel,1941,War,123,Great Britain,Michael Powell,1,2,1,3,7,27
The Whistle Blower,1986,Spy,98,Great Britain,Simon Langton,2,2,3,3,6,34
Eagle's Wing,1979,Western,104,Great Britain,Anthony Harvey,0,2,0,2,7,20
This Sporting Life,1963,Drama,129,Great Britain,Lindsay Anderson,0,3,3,3,7,49
The Ipcress File,1965,Spy,109,Great Britain,Sidney J. Furie,1,3,1,3,7,69
The Dawning,1988,Drama,95,Great Britain,Robert Knights,1,2,2,3,6,3
Isadora,1968,Drama,104,Great Britain,Karel Reisz,1,2,0,2,6,10
For Your Eyes Only,1981,Spy,127,Great Britain,John Glen,2,3,2,2,7,167
Jean de Florette,1986,Drama,121,France,Claude Berri,1,3,4,3,7,9
The Flesh and the Fields,1959,Horror,90,Great Britain,John Gilling,0,2,0,4,6,11
Jesuit Joe,1992,Adventure,99,France,Oliver Austen,1,2,0,1,6,3
Jo,1971,Comedy,98,France,Jean Girault,3,3,0,0,7,39
Utvandrarna,1970,Drama,132,Sweden,Jan Troell,0,0,0,0,7,10
Khartoum,1966,War,133,Great Britain,Basil Dearden,1,3,1,1,6,20
King David,1985,Drama,114,Great Britain,Bruce Beresford,0,2,1,1,4,15
Krull,1983,Fantasy,121,Great Britain,Peter Yates,1,3,0,1,6,35
Laberinto de pasiones,1982,Comedy,100,Spain,Pedro Almodóvar,2,1,0,1,6,42
Lady L.,1965,Comedy,115,Great Britain,Peter Ustinov,1,2,0,0,4,14
¡Átame!,1989,Mélo,92,Spain,Pedro Almodóvar,1,3,1,2,7,156
Legend,1985,Fantasy,94,Great Britain,Ridley Scott,2,3,1,2,5,117
The Legend of the Seven Golden Vampires,1974,Horror,90,Great Britain,Roy Ward Baker,0,0,0,0,6,30
Légitime Violence,1982,Drama,95,France,Serge Leroy,0,0,0,0,4,3
Quai des Orfèvres,1947,Drama,105,France,Henri-Georges Clouzot,0,3,1,3,7,47
Link,1986,Thriller,103,Great Britain,Richard Franklin,0,2,0,3,5,11
The Inn of the Sixth Happiness,1958,Drama,160,Great Britain,Mark Robson,1,2,3,2,6,32
Hibernatus,1969,Comedy,80,France,Edouard Molinaro,2,3,0,1,6,30
Tenue de Soirée,1986,Comedy,84,France,Bertrand Blier,0,0,0,0,6,8
Die Blutigen Geier von Alaska,1973,Adventure,100,Germany,Harald Reinl,0,2,0,1,4,4
Battle of Britain,1969,War,104,Great Britain,Guy Hamilton,0,2,2,2,6,44
The Long Duel,1967,Adventure,115,Great Britain,Ken Annakin,0,2,0,2,5,6
M - Eine Stadt sucht einen Mörder,1931,Drama,99,Germany,Fritz Lang,1,2,4,3,8,305
The First Great Train Robbery,1978,Adventure,110,Great Britain,Michael Crichton,2,3,0,1,6,90
Macbeth,1972,Drama,140,Great Britain,Roman Polanski,0,2,3,3,7,78
Madame Bovary,1990,Drama,140,France,Claude Chabrol,0,2,2,2,6,34
Madame DuBarry,1919,Biography,85,Germany,Ernst Lubitsch,0,2,0,1,6,11
Maladie d'amour,1987,Drama,104,France,Jacques Deray,0,1,1,1,6,3
Malcolm,1986,Comedy,82,Australia,Nadia Tass,0,0,0,0,8,3
Alraune,1927,Horror,102,Germany,Henrik Galeen,0,2,3,3,6,4
Eath the Rich,1987,Grotesque,87,Great Britain,Peter Richardson,2,2,1,1,7,3
Manon des sources,1986,Drama,113,France,Claude Berri,1,2,1,2,7,6
Marcelino pan y vino,1955,Romantic,90,Spain,Ladislao Vajda,1,2,0,1,6,70
Scars of Dracula,1970,Horror,96,Great Britain,Roy Ward Baker,1,2,1,3,6,24
Comment draguer toutes les filles,1981,Comedy,95,France,Michel Vocoret,0,0,0,0,4,3
Le mari de la coiffeuse,1990,Comedy,85,France,Patrice Leconte,1,2,1,1,7,71
An Ideal Husband,1947,Comedy,96,Great Britain,Alexander Korda,2,2,1,1,6,13
Lost and Found,1979,Comedy,105,Great Britain,Melvin Frank,2,2,1,1,5,13
The Big Sleep,1978,Noir,99,Great Britain,Michael Winner,1,3,0,2,5,27
Tha Masks of Death,1984,Thriller,88,Great Britain,Roy Ward Baker,1,2,0,3,6,23
A Handful of Dust,1988,Drama,114,Great Britain,Charles Sturridge,1,2,2,0,6,4
Die Ehe der Maria Braun,1979,Drama,120,Germany,Rainer Werner Fassbinder,0,2,3,2,8,58
Maurice,1987,Drama,137,Great Britain,James Ivory,1,2,2,2,7,50
